indicador;municipio;ano;resultado
3.1;2400109;2003;0.37
3.2;2400109;2003;0.44
3.1;2400208;2003;0.41
3.2;2400208;2003;0.47
3.1;2400307;2003;0.36
3.2;2400307;2003;0.42
3.1;2400406;2003;0.32
3.2;2400406;2003;0.45
3.1;2400505;2003;0.38
3.2;2400505;2003;0.45
3.1;2400604;2003;0.35
3.2;2400604;2003;0.44
3.1;2400703;2003;0.36
3.2;2400703;2003;0.43
3.1;2400802;2003;0.37
3.2;2400802;2003;0.43
3.1;2400901;2003;0.36
3.2;2400901;2003;0.43
3.1;2401008;2003;0.35
3.2;2401008;2003;0.40
3.1;2401107;2003;0.35
3.2;2401107;2003;0.41
3.1;2401206;2003;0.35
3.2;2401206;2003;0.42
3.1;2401305;2003;0.38
3.2;2401305;2003;0.46
3.1;2401404;2003;0.32
3.2;2401404;2003;0.40
3.1;2401453;2003;0.34
3.2;2401453;2003;0.41
3.1;2401503;2003;0.34
3.2;2401503;2003;0.44
3.1;2401602;2003;0.32
3.2;2401602;2003;0.43
3.1;2401651;2003;0.31
3.2;2401651;2003;0.41
3.1;2401701;2003;0.35
3.2;2401701;2003;0.43
3.1;2401800;2003;0.36
3.2;2401800;2003;0.43
3.1;2401859;2003;0.29
3.2;2401859;2003;0.40
3.1;2401909;2003;0.29
3.2;2401909;2003;0.41
3.1;2402006;2003;0.44
3.2;2402006;2003;0.51
3.1;2402105;2003;0.37
3.2;2402105;2003;0.45
3.1;2402204;2003;0.37
3.2;2402204;2003;0.43
3.1;2402303;2003;0.35
3.2;2402303;2003;0.42
3.1;2402402;2003;0.35
3.2;2402402;2003;0.44
3.1;2402501;2003;0.34
3.2;2402501;2003;0.41
3.1;2402600;2003;0.40
3.2;2402600;2003;0.45
3.1;2402709;2003;0.37
3.2;2402709;2003;0.44
3.1;2402808;2003;0.35
3.2;2402808;2003;0.45
3.1;2402907;2003;0.35
3.2;2402907;2003;0.46
3.1;2403004;2003;0.36
3.2;2403004;2003;0.52
3.1;2403103;2003;0.41
3.2;2403103;2003;0.48
3.1;2403202;2003;0.34
3.2;2403202;2003;0.41
3.1;2403251;2003;0.44
3.2;2403251;2003;0.51
3.1;2403301;2003;0.34
3.2;2403301;2003;0.44
3.1;2403400;2003;0.35
3.2;2403400;2003;0.44
3.1;2403509;2003;0.33
3.2;2403509;2003;0.43
3.1;2403608;2003;0.37
3.2;2403608;2003;0.43
3.1;2403707;2003;0.31
3.2;2403707;2003;0.41
3.1;2403756;2003;0.34
3.2;2403756;2003;0.46
3.1;2403806;2003;0.37
3.2;2403806;2003;0.45
3.1;2403905;2003;0.31
3.2;2403905;2003;0.42
3.1;2404002;2003;0.33
3.2;2404002;2003;0.42
3.1;2404101;2003;0.30
3.2;2404101;2003;0.45
3.1;2404200;2003;0.38
3.2;2404200;2003;0.47
3.1;2404309;2003;0.36
3.2;2404309;2003;0.42
3.1;2404408;2003;0.33
3.2;2404408;2003;0.42
3.1;2404507;2003;0.34
3.2;2404507;2003;0.41
3.1;2404606;2003;0.37
3.2;2404606;2003;0.44
3.1;2404705;2003;0.36
3.2;2404705;2003;0.43
3.1;2404804;2003;0.28
3.2;2404804;2003;0.40
3.1;2404853;2003;0.33
3.2;2404853;2003;0.41
3.1;2404903;2003;0.32
3.2;2404903;2003;0.41
3.1;2405009;2003;0.36
3.2;2405009;2003;0.46
3.1;2405108;2003;0.35
3.2;2405108;2003;0.44
3.1;2405207;2003;0.33
3.2;2405207;2003;0.42
3.1;2405306;2003;0.37
3.2;2405306;2003;0.45
3.1;2405405;2003;0.35
3.2;2405405;2003;0.43
3.1;2405504;2003;0.33
3.2;2405504;2003;0.43
3.1;2405603;2003;0.35
3.2;2405603;2003;0.42
3.1;2405702;2003;0.34
3.2;2405702;2003;0.41
3.1;2405801;2003;0.37
3.2;2405801;2003;0.44
3.1;2405900;2003;0.33
3.2;2405900;2003;0.44
3.1;2406007;2003;0.37
3.2;2406007;2003;0.46
3.1;2406106;2003;0.37
3.2;2406106;2003;0.44
3.1;2406205;2003;0.36
3.2;2406205;2003;0.45
3.1;2406304;2003;0.36
3.2;2406304;2003;0.45
3.1;2406403;2003;0.32
3.2;2406403;2003;0.46
3.1;2406502;2003;0.36
3.2;2406502;2003;0.42
3.1;2406601;2003;0.34
3.2;2406601;2003;0.43
3.1;2406700;2003;0.35
3.2;2406700;2003;0.42
3.1;2406809;2003;0.34
3.2;2406809;2003;0.45
3.1;2406908;2003;0.35
3.2;2406908;2003;0.46
3.1;2407005;2003;0.36
3.2;2407005;2003;0.44
3.1;2407104;2003;0.38
3.2;2407104;2003;0.44
3.1;2407203;2003;0.36
3.2;2407203;2003;0.43
3.1;2407252;2003;0.30
3.2;2407252;2003;0.41
3.1;2407302;2003;0.36
3.2;2407302;2003;0.44
3.1;2407401;2003;0.37
3.2;2407401;2003;0.45
3.1;2407500;2003;0.34
3.2;2407500;2003;0.42
3.1;2407609;2003;0.33
3.2;2407609;2003;0.42
3.1;2407708;2003;0.37
3.2;2407708;2003;0.44
3.1;2407807;2003;0.38
3.2;2407807;2003;0.46
3.1;2407906;2003;0.30
3.2;2407906;2003;0.45
3.1;2408003;2003;0.43
3.2;2408003;2003;0.48
3.1;2408102;2003;0.50
3.2;2408102;2003;0.56
3.1;2408201;2003;0.38
3.2;2408201;2003;0.46
3.1;2408300;2003;0.39
3.2;2408300;2003;0.46
3.1;2408409;2003;0.33
3.2;2408409;2003;0.41
3.1;2408508;2003;0.33
3.2;2408508;2003;0.41
3.1;2408607;2003;0.31
3.2;2408607;2003;0.41
3.1;2408706;2003;0.32
3.2;2408706;2003;0.42
3.1;2408805;2003;0.35
3.2;2408805;2003;0.47
3.1;2408904;2003;0.39
3.2;2408904;2003;0.46
3.1;2408953;2003;0.35
3.2;2408953;2003;0.42
3.1;2409100;2003;0.36
3.2;2409100;2003;0.44
3.1;2409209;2003;0.31
3.2;2409209;2003;0.43
3.1;2409308;2003;0.38
3.2;2409308;2003;0.44
3.1;2409332;2003;0.33
3.2;2409332;2003;0.46
3.1;2409407;2003;0.40
3.2;2409407;2003;0.47
3.1;2409506;2003;0.35
3.2;2409506;2003;0.44
3.1;2409605;2003;0.33
3.2;2409605;2003;0.52
3.1;2409704;2003;0.37
3.2;2409704;2003;0.45
3.1;2409803;2003;0.38
3.2;2409803;2003;0.45
3.1;2409902;2003;0.36
3.2;2409902;2003;0.43
3.1;2410009;2003;0.31
3.2;2410009;2003;0.43
3.1;2410108;2003;0.36
3.2;2410108;2003;0.42
3.1;2410207;2003;0.36
3.2;2410207;2003;0.44
3.1;2410256;2003;0.32
3.2;2410256;2003;0.41
3.1;2410306;2003;0.36
3.2;2410306;2003;0.44
3.1;2410405;2003;0.37
3.2;2410405;2003;0.45
3.1;2410504;2003;0.31
3.2;2410504;2003;0.40
3.1;2410603;2003;0.32
3.2;2410603;2003;0.40
3.1;2410702;2003;0.30
3.2;2410702;2003;0.43
3.1;2410801;2003;0.31
3.2;2410801;2003;0.41
3.1;2410900;2003;0.34
3.2;2410900;2003;0.43
3.1;2411007;2003;0.33
3.2;2411007;2003;0.42
3.1;2411056;2003;0.30
3.2;2411056;2003;0.41
3.1;2411106;2003;0.36
3.2;2411106;2003;0.49
3.1;2411205;2003;0.41
3.2;2411205;2003;0.49
3.1;2411403;2003;0.36
3.2;2411403;2003;0.42
3.1;2411429;2003;0.33
3.2;2411429;2003;0.48
3.1;2411502;2003;0.37
3.2;2411502;2003;0.44
3.1;2411601;2003;0.36
3.2;2411601;2003;0.48
3.1;2411700;2003;0.32
3.2;2411700;2003;0.44
3.1;2411809;2003;0.32
3.2;2411809;2003;0.42
3.1;2411908;2003;0.32
3.2;2411908;2003;0.43
3.1;2412005;2003;0.38
3.2;2412005;2003;0.42
3.1;2412104;2003;0.34
3.2;2412104;2003;0.41
3.1;2412203;2003;0.38
3.2;2412203;2003;0.44
3.1;2412302;2003;0.38
3.2;2412302;2003;0.44
3.1;2412401;2003;0.33
3.2;2412401;2003;0.43
3.1;2412500;2003;0.34
