indicador;municipio;ano;resultado
1.1.1.3;240010;2010;None
1.1.1.3;240010;2015;None
1.1.1.3;240010;2016;11338
1.1.1.3;240010;2017;11333
1.1.1.3;240020;2010;None
1.1.1.3;240020;2015;None
1.1.1.3;240020;2016;57743
1.1.1.3;240020;2017;58183
1.1.1.3;240030;2010;None
1.1.1.3;240030;2015;None
1.1.1.3;240030;2016;11207
1.1.1.3;240030;2017;11211
1.1.1.3;240040;2010;None
1.1.1.3;240040;2015;None
1.1.1.3;240040;2016;3235
1.1.1.3;240040;2017;3260
1.1.1.3;240050;2010;None
1.1.1.3;240050;2015;None
1.1.1.3;240050;2016;13839
1.1.1.3;240050;2017;13827
1.1.1.3;240060;2010;None
1.1.1.3;240060;2015;None
1.1.1.3;240060;2016;4876
1.1.1.3;240060;2017;4854
1.1.1.3;240070;2010;None
1.1.1.3;240070;2015;None
1.1.1.3;240070;2016;14143
1.1.1.3;240070;2017;14365
1.1.1.3;240080;2010;None
1.1.1.3;240080;2015;None
1.1.1.3;240080;2016;11908
1.1.1.3;240080;2017;11909
1.1.1.3;240090;2010;None
1.1.1.3;240090;2015;None
1.1.1.3;240090;2016;7221
1.1.1.3;240090;2017;7237
1.1.1.3;240100;2010;None
1.1.1.3;240100;2015;None
1.1.1.3;240100;2016;36257
1.1.1.3;240100;2017;36323
1.1.1.3;240110;2010;None
1.1.1.3;240110;2015;None
1.1.1.3;240110;2016;27176
1.1.1.3;240110;2017;27401
1.1.1.3;240120;2010;None
1.1.1.3;240120;2015;None
1.1.1.3;240120;2016;14176
1.1.1.3;240120;2017;14307
1.1.1.3;240130;2010;None
1.1.1.3;240130;2015;None
1.1.1.3;240130;2016;9742
1.1.1.3;240130;2017;9768
1.1.1.3;240140;2010;None
1.1.1.3;240140;2015;None
1.1.1.3;240140;2016;9247
1.1.1.3;240140;2017;9309
1.1.1.3;240145;2010;None
1.1.1.3;240145;2015;None
1.1.1.3;240145;2016;27667
1.1.1.3;240145;2017;28085
1.1.1.3;240150;2010;None
1.1.1.3;240150;2015;None
1.1.1.3;240150;2016;4065
1.1.1.3;240150;2017;4064
1.1.1.3;240160;2010;None
1.1.1.3;240160;2015;None
1.1.1.3;240160;2016;5493
1.1.1.3;240160;2017;5527
1.1.1.3;240165;2010;None
1.1.1.3;240165;2015;None
1.1.1.3;240165;2016;2332
1.1.1.3;240165;2017;2307
1.1.1.3;240170;2010;None
1.1.1.3;240170;2015;None
1.1.1.3;240170;2016;10185
1.1.1.3;240170;2017;10254
1.1.1.3;240180;2010;None
1.1.1.3;240180;2015;None
1.1.1.3;240180;2016;12616
1.1.1.3;240180;2017;12720
1.1.1.3;240185;2010;None
1.1.1.3;240185;2015;None
1.1.1.3;240185;2016;6606
1.1.1.3;240185;2017;6624
1.1.1.3;240190;2010;None
