indicador;municipio;ano;resultado
13.4.1.2.1;2400109;2010;819.92
13.4.1.2.2;2400109;2010;570.79
13.4.1.2.1;2400208;2010;997.99
13.4.1.2.2;2400208;2010;557.67
13.4.1.2.1;2400307;2010;590.94
13.4.1.2.2;2400307;2010;455.24
13.4.1.2.1;2400406;2010;576.64
13.4.1.2.2;2400406;2010;396.51
13.4.1.2.1;2400505;2010;688.55
13.4.1.2.2;2400505;2010;463.37
13.4.1.2.1;2400604;2010;607.11
13.4.1.2.2;2400604;2010;496.60
13.4.1.2.1;2400703;2010;967.39
13.4.1.2.2;2400703;2010;602.30
13.4.1.2.1;2400802;2010;810.33
13.4.1.2.2;2400802;2010;510.77
13.4.1.2.1;2400901;2010;539.90
13.4.1.2.2;2400901;2010;445.98
13.4.1.2.1;2401008;2010;757.73
13.4.1.2.2;2401008;2010;528.21
13.4.1.2.1;2401107;2010;991.18
13.4.1.2.2;2401107;2010;660.87
13.4.1.2.1;2401206;2010;758.08
13.4.1.2.2;2401206;2010;507.60
13.4.1.2.1;2401305;2010;970.80
13.4.1.2.2;2401305;2010;534.07
13.4.1.2.1;2401404;2010;723.46
13.4.1.2.2;2401404;2010;529.89
13.4.1.2.1;2401453;2010;585.87
13.4.1.2.2;2401453;2010;407.92
13.4.1.2.1;2401503;2010;599.95
13.4.1.2.2;2401503;2010;411.04
13.4.1.2.1;2401602;2010;572.57
13.4.1.2.2;2401602;2010;439.06
13.4.1.2.1;2401651;2010;740.11
13.4.1.2.2;2401651;2010;442.20
13.4.1.2.1;2401701;2010;659.72
13.4.1.2.2;2401701;2010;546.50
13.4.1.2.1;2401800;2010;632.40
13.4.1.2.2;2401800;2010;477.66
13.4.1.2.1;2401859;2010;592.61
13.4.1.2.2;2401859;2010;424.46
13.4.1.2.1;2401909;2010;579.37
13.4.1.2.2;2401909;2010;472.36
13.4.1.2.1;2402006;2010;1230.09
13.4.1.2.2;2402006;2010;790.42
13.4.1.2.1;2402105;2010;656.84
13.4.1.2.2;2402105;2010;416.56
13.4.1.2.1;2402204;2010;662.56
13.4.1.2.2;2402204;2010;453.90
13.4.1.2.1;2402303;2010;764.31
13.4.1.2.2;2402303;2010;489.64
13.4.1.2.1;2402402;2010;737.27
13.4.1.2.2;2402402;2010;481.55
13.4.1.2.1;2402501;2010;713.40
13.4.1.2.2;2402501;2010;427.22
13.4.1.2.1;2402600;2010;767.88
13.4.1.2.2;2402600;2010;546.35
13.4.1.2.1;2402709;2010;601.08
13.4.1.2.2;2402709;2010;488.41
13.4.1.2.1;2402808;2010;539.34
13.4.1.2.2;2402808;2010;427.67
13.4.1.2.1;2402907;2010;561.26
13.4.1.2.2;2402907;2010;425.52
13.4.1.2.1;2403004;2010;648.94
13.4.1.2.2;2403004;2010;437.72
13.4.1.2.1;2403103;2010;1174.62
13.4.1.2.2;2403103;2010;614.39
13.4.1.2.1;2403202;2010;651.84
13.4.1.2.2;2403202;2010;460.65
13.4.1.2.1;2403251;2010;1787.56
13.4.1.2.2;2403251;2010;1130.88
13.4.1.2.1;2403301;2010;621.96
13.4.1.2.2;2403301;2010;496.13
13.4.1.2.1;2403400;2010;642.29
13.4.1.2.2;2403400;2010;466.62
13.4.1.2.1;2403509;2010;614.24
13.4.1.2.2;2403509;2010;426.70
13.4.1.2.1;2403608;2010;935.94
13.4.1.2.2;2403608;2010;707.93
13.4.1.2.1;2403707;2010;638.97
13.4.1.2.2;2403707;2010;489.20
13.4.1.2.1;2403756;2010;737.18
13.4.1.2.2;2403756;2010;407.45
13.4.1.2.1;2403806;2010;735.11
13.4.1.2.2;2403806;2010;512.74
13.4.1.2.1;2403905;2010;598.69
13.4.1.2.2;2403905;2010;485.91
13.4.1.2.1;2404002;2010;598.97
13.4.1.2.2;2404002;2010;451.08
13.4.1.2.1;2404101;2010;779.14
13.4.1.2.2;2404101;2010;451.45
13.4.1.2.1;2404200;2010;825.51
13.4.1.2.2;2404200;2010;744.02
13.4.1.2.1;2404309;2010;610.54
13.4.1.2.2;2404309;2010;468.72
13.4.1.2.1;2404408;2010;907.10
13.4.1.2.2;2404408;2010;534.27
13.4.1.2.1;2404507;2010;960.28
13.4.1.2.2;2404507;2010;620.16
13.4.1.2.1;2404606;2010;494.16
13.4.1.2.2;2404606;2010;387.70
13.4.1.2.1;2404705;2010;633.23
13.4.1.2.2;2404705;2010;436.49
13.4.1.2.1;2404804;2010;653.80
13.4.1.2.2;2404804;2010;608.63
13.4.1.2.1;2404853;2010;656.42
13.4.1.2.2;2404853;2010;414.69
13.4.1.2.1;2404903;2010;618.05
13.4.1.2.2;2404903;2010;495.05
13.4.1.2.1;2405009;2010;538.05
13.4.1.2.2;2405009;2010;434.32
13.4.1.2.1;2405108;2010;654.32
13.4.1.2.2;2405108;2010;385.76
13.4.1.2.1;2405207;2010;556.22
13.4.1.2.2;2405207;2010;498.26
13.4.1.2.1;2405306;2010;438.79
13.4.1.2.2;2405306;2010;376.01
13.4.1.2.1;2405405;2010;578.37
13.4.1.2.2;2405405;2010;375.40
13.4.1.2.1;2405504;2010;664.79
13.4.1.2.2;2405504;2010;408.79
13.4.1.2.1;2405603;2010;637.65
13.4.1.2.2;2405603;2010;468.60
13.4.1.2.1;2405702;2010;840.46
13.4.1.2.2;2405702;2010;555.59
13.4.1.2.1;2405801;2010;782.04
13.4.1.2.2;2405801;2010;528.86
13.4.1.2.1;2405900;2010;518.05
13.4.1.2.2;2405900;2010;382.48
