indicador;municipio;ano;resultado
1.1.1.3;240010;2005;0
1.1.1.3;240010;2009;0
1.1.1.3;240020;2005;0
1.1.1.3;240020;2009;0
1.1.1.3;240030;2005;0
1.1.1.3;240030;2009;0
1.1.1.3;240040;2005;0
1.1.1.3;240040;2009;0
1.1.1.3;240050;2005;0
1.1.1.3;240050;2009;0
1.1.1.3;240060;2005;0
1.1.1.3;240060;2009;0
1.1.1.3;240070;2005;0
1.1.1.3;240070;2009;0
1.1.1.3;240080;2005;0
1.1.1.3;240080;2009;0
1.1.1.3;240090;2005;0
1.1.1.3;240090;2009;0
1.1.1.3;240100;2005;0
1.1.1.3;240100;2009;0
1.1.1.3;240110;2005;0
1.1.1.3;240110;2009;0
1.1.1.3;240120;2005;0
1.1.1.3;240120;2009;0
1.1.1.3;240130;2005;0
1.1.1.3;240130;2009;0
1.1.1.3;240140;2005;0
1.1.1.3;240140;2009;0
1.1.1.3;240145;2005;0
1.1.1.3;240145;2009;1
1.1.1.3;240150;2005;0
1.1.1.3;240150;2009;0
1.1.1.3;240160;2005;0
1.1.1.3;240160;2009;0
1.1.1.3;240165;2005;0
1.1.1.3;240165;2009;0
1.1.1.3;240170;2005;0
1.1.1.3;240170;2009;0
1.1.1.3;240180;2005;0
1.1.1.3;240180;2009;0
1.1.1.3;240185;2005;0
1.1.1.3;240185;2009;0
1.1.1.3;240190;2005;0
1.1.1.3;240190;2009;0
1.1.1.3;240200;2005;0
1.1.1.3;240200;2009;1
1.1.1.3;240210;2005;0
1.1.1.3;240210;2009;0
1.1.1.3;240220;2005;0
1.1.1.3;240220;2009;0
1.1.1.3;240230;2005;0
1.1.1.3;240230;2009;0
1.1.1.3;240240;2005;0
1.1.1.3;240240;2009;0
1.1.1.3;240250;2005;0
1.1.1.3;240250;2009;0
1.1.1.3;240260;2005;0
1.1.1.3;240260;2009;0
1.1.1.3;240270;2005;0
1.1.1.3;240270;2009;0
1.1.1.3;240280;2005;0
1.1.1.3;240280;2009;0
1.1.1.3;240290;2005;0
1.1.1.3;240290;2009;0
1.1.1.3;240300;2005;0
1.1.1.3;240300;2009;0
1.1.1.3;240310;2005;0
1.1.1.3;240310;2009;0
1.1.1.3;240320;2005;0
1.1.1.3;240320;2009;0
