municipio;amarela;branca;indigena;parda;preta;semdeclara
;0;30;0;4;0;0
;0;143;0;141;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;23;0;9;0;0
;0;16;0;0;0;0
;0;25;0;5;0;0
;0;0;0;10;0;0
;0;0;0;0;0;0
;0;41;0;35;0;0
;0;11;0;22;0;0
;0;29;0;0;0;0
;0;19;0;36;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;10;0;0
;0;5;0;10;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;419;0;114;0;0
;0;24;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;7;0;0;0;0
;0;5;0;0;0;0
;0;29;0;0;0;0
;0;16;0;0;0;0
;0;3;0;3;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;12;146;0;85;0;0
;0;0;0;0;0;0
;22;1511;0;655;195;0
;0;0;0;0;0;0
;0;3;0;7;0;0
;0;6;0;6;6;0
;0;68;0;14;0;0
;0;5;0;0;0;0
;0;0;0;0;0;0
;0;17;0;0;0;0
;0;7;0;0;0;0
;0;0;0;0;0;0
;0;6;0;6;0;0
;0;53;0;11;0;0
;0;0;0;0;0;0
;0;6;0;27;0;0
;0;10;0;16;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;3;0;6;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;67;0;37;0;0
;0;38;0;29;0;0
;0;0;0;0;0;0
;0;7;0;0;0;0
;0;6;0;0;0;0
;0;0;0;0;0;0
;0;3;0;3;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;11;0;6;0;0
;0;3;0;8;0;0
;0;52;0;22;9;0
;0;0;0;10;0;0
;0;0;0;1;0;0
;0;0;0;0;0;0
;0;5;0;0;0;0
;0;9;0;0;0;0
;0;5;0;2;0;0
;0;0;0;0;0;0
;0;0;0;42;0;0
;0;0;0;0;0;0
;0;1286;0;590;0;0
;228;12820;12;4921;219;0
;0;26;0;0;9;0
;0;0;0;0;0;0
;0;3;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;3;0;3;0;0
;0;0;0;0;0;0
;0;10;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;19;0;5;0;0
;0;0;0;0;0;0
;0;180;0;19;10;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;2;0;8;0;0
;0;4;0;4;0;0
;0;16;0;12;0;0
;0;0;0;0;0;0
;0;11;0;23;0;0
;0;17;0;0;0;0
;0;13;0;0;0;0
;0;8;0;4;0;0
;0;0;0;0;0;0
;0;6;0;0;0;0
;0;0;0;0;0;0
;0;3;0;0;0;0
;0;0;0;0;0;0
;0;10;0;7;0;0
;0;0;0;0;0;0
;0;8;0;5;5;0
;0;0;0;0;0;0
;0;10;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;37;0;12;12;0
;3;3;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;49;0;26;0;0
;0;3;0;14;0;0
;0;65;0;36;0;0
;0;11;0;0;0;0
;0;0;0;0;0;0
;0;17;0;8;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;13;0;0
;0;15;0;24;0;0
;0;6;0;7;0;0
;0;18;0;6;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;6;0;0
;0;22;0;0;0;0
;0;7;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;14;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;15;0;5;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;11;0;47;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;4;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;0;0;0;0;0
;0;4;0;0;0;0
;0;0;0;1;0;0
;0;2;0;2;0;0
