;Limite inferior;Limite superior
;0.37;0.44
;0.41;0.47
;0.36;0.42
;0.32;0.45
;0.38;0.45
;0.35;0.44
;0.36;0.43
;0.37;0.43
;0.36;0.43
;0.35;0.4
;0.35;0.41
;0.35;0.42
;0.38;0.46
;0.32;0.4
;0.34;0.41
;0.34;0.44
;0.32;0.43
;0.31;0.41
;0.35;0.43
;0.36;0.43
;0.29;0.4
;0.29;0.41
;0.44;0.51
;0.37;0.45
;0.37;0.43
;0.35;0.42
;0.35;0.44
;0.34;0.41
;0.4;0.45
;0.37;0.44
;0.35;0.45
;0.35;0.46
;0.36;0.52
;0.41;0.48
;0.34;0.41
;0.44;0.51
;0.34;0.44
;0.35;0.44
;0.33;0.43
;0.37;0.43
;0.31;0.41
;0.34;0.46
;0.37;0.45
;0.31;0.42
;0.33;0.42
;0.3;0.45
;0.38;0.47
;0.36;0.42
;0.33;0.42
;0.34;0.41
;0.37;0.44
;0.36;0.43
;0.28;0.4
;0.33;0.41
;0.32;0.41
;0.36;0.46
;0.35;0.44
;0.33;0.42
;0.37;0.45
;0.35;0.43
;0.33;0.43
;0.35;0.42
;0.34;0.41
;0.37;0.44
;0.33;0.44
;0.37;0.46
;0.37;0.44
;0.36;0.45
;0.36;0.45
;0.32;0.46
;0.36;0.42
;0.34;0.43
;0.35;0.42
;0.34;0.45
;0.35;0.46
;0.36;0.44
;0.38;0.44
;0.36;0.43
;0.3;0.41
;0.36;0.44
;0.37;0.45
;0.34;0.42
;0.33;0.42
;0.37;0.44
;0.38;0.46
;0.3;0.45
;0.43;0.48
;0.5;0.56
;0.38;0.46
;0.39;0.46
;0.33;0.41
;0.33;0.41
;0.31;0.41
;0.32;0.42
;0.35;0.47
;0.39;0.46
;0.35;0.42
;0.36;0.44
;0.31;0.43
;0.38;0.44
;0.33;0.46
;0.4;0.47
;0.35;0.44
;0.33;0.52
;0.37;0.45
;0.38;0.45
;0.36;0.43
;0.31;0.43
;0.36;0.42
;0.36;0.44
;0.32;0.41
;0.36;0.44
;0.37;0.45
;0.31;0.4
;0.32;0.4
;0.3;0.43
;0.31;0.41
;0.34;0.43
;0.33;0.42
;0.3;0.41
;0.36;0.49
;0.41;0.49
;0.36;0.42
;0.33;0.48
;0.37;0.44
;0.36;0.48
;0.32;0.44
;0.32;0.42
;0.32;0.43
;0.38;0.42
;0.34;0.41
;0.38;0.44
;0.38;0.44
;0.33;0.43
;0.34;0.42
;0.34;0.44
;0.38;0.45
;0.37;0.46
;0.36;0.44
;0.37;0.44
;0.35;0.43
;0.35;0.44
;0.3;0.4
;0.37;0.48
;0.34;0.42
;0.36;0.43
;0.37;0.46
;0.32;0.41
;0.33;0.41
;0.36;0.47
;0.29;0.41
;0.37;0.45
;0.37;0.43
;0.36;0.43
;0.35;0.43
;0.37;0.46
;0.32;0.43
;0.36;0.42
;0.35;0.45
;0.37;0.43
;0.37;0.44
;0.37;0.45
;0.3;0.42
;0.36;0.44
;0.25;0.41
;0.28;0.41
